0.010000	1.000000e+00
0.060000	1.000000e+00
0.110000	1.000000e+00
0.160000	1.000000e+00
0.210000	1.000000e+00
0.260000	1.000000e+00
0.310000	1.000000e+00
0.360000	1.000000e+00
0.410000	1.000000e+00
0.460000	1.000000e+00
0.510000	1.000000e+00
0.560000	1.000000e+00
0.610000	1.000000e+00
0.660000	1.000000e+00
0.710000	1.000000e+00
0.760000	1.000000e+00
0.810000	1.000000e+00
0.860000	1.000000e+00
0.910000	1.000000e+00
0.960000	1.000000e+00
1.010000	1.000000e+00
1.060000	1.000000e+00
1.110000	1.000000e+00
1.160000	1.000000e+00
1.210000	1.000000e+00
1.260000	1.000000e+00
1.310000	1.000000e+00
1.360000	1.000000e+00
1.410000	1.000000e+00
1.460000	9.999999e-01
1.510000	9.999999e-01
1.560000	9.999998e-01
1.610000	9.999997e-01
1.660000	9.999995e-01
1.710000	9.999992e-01
1.760000	9.999988e-01
1.810000	9.999982e-01
1.860000	9.999974e-01
1.910000	9.999962e-01
1.960000	9.999947e-01
2.010000	9.999928e-01
2.060000	9.999902e-01
2.110000	9.999869e-01
2.160000	9.999827e-01
2.210000	9.999775e-01
2.260000	9.999711e-01
2.310000	9.999632e-01
2.360000	9.999536e-01
2.410000	9.999421e-01
2.460000	9.999284e-01
2.510000	9.999122e-01
2.560000	9.998932e-01
2.610000	9.998711e-01
2.660000	9.998455e-01
2.710000	9.998155e-01
2.760000	9.997816e-01
2.810000	9.997430e-01
2.860000	9.996993e-01
2.910000	9.996500e-01
2.960000	9.995946e-01
3.010000	9.995328e-01
3.060000	9.994640e-01
3.110000	9.993877e-01
3.160000	9.993035e-01
3.210000	9.992108e-01
3.260000	9.991090e-01
3.310000	9.989978e-01
3.360000	9.988765e-01
3.410000	9.987445e-01
3.460000	9.986015e-01
3.510000	9.984468e-01
3.560000	9.982798e-01
3.610000	9.981001e-01
3.660000	9.979071e-01
3.710000	9.977002e-01
3.760000	9.974789e-01
3.810000	9.972426e-01
3.860000	9.969908e-01
3.910000	9.967230e-01
3.960000	9.964385e-01
4.010000	9.961370e-01
4.060000	9.958178e-01
4.110000	9.954803e-01
4.160000	9.951163e-01
4.210000	9.947392e-01
4.260000	9.943421e-01
4.310000	9.939243e-01
4.360000	9.934854e-01
4.410000	9.930247e-01
4.460000	9.925417e-01
4.510000	9.920358e-01
4.560000	9.915065e-01
4.610000	9.909533e-01
4.660000	9.903755e-01
4.710000	9.897727e-01
4.760000	9.891442e-01
4.810000	9.884896e-01
4.860000	9.878081e-01
4.910000	9.870994e-01
4.960000	9.863628e-01
5.010000	9.855978e-01
5.060000	9.848038e-01
5.110000	9.839802e-01
5.160000	9.831057e-01
5.210000	9.822176e-01
5.260000	9.812978e-01
5.310000	9.803455e-01
5.360000	9.793602e-01
5.410000	9.783411e-01
5.460000	9.772877e-01
5.510000	9.761993e-01
5.560000	9.750751e-01
5.610000	9.739146e-01
5.660000	9.727170e-01
5.710000	9.714817e-01
5.760000	9.702079e-01
5.810000	9.688949e-01
5.860000	9.675420e-01
5.910000	9.661131e-01
5.960000	9.646723e-01
6.010000	9.631885e-01
6.060000	9.616608e-01
6.110000	9.600885e-01
6.160000	9.584705e-01
6.210000	9.568060e-01
6.260000	9.550940e-01
6.310000	9.533336e-01
